City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,74.7,80,2,19.26,MG,1700590668
1,revda,56.801,59.9303,25.43,84,100,11.86,RU,1700590668
2,longyearbyen,78.2186,15.6401,35.44,69,75,20.71,SJ,1700590669
3,bratsk,56.1325,101.6142,-4.67,87,100,14.36,RU,1700590669
4,tiksi,71.6872,128.8694,-20.72,100,83,6.38,RU,1700590669
5,invercargill,-46.4,168.35,56.01,91,100,1.01,NZ,1700590670
6,tobruk,32.0836,23.9764,69.44,49,64,6.85,LY,1700590670
7,ushuaia,-54.8,-68.3,40.62,84,75,9.22,AR,1700590432
8,albany,42.6001,-73.9662,37.17,59,100,1.99,US,1700590670
9,isafjordur,66.0755,-23.124,37.44,81,100,34.52,IS,1700590671
10,umm kaddadah,13.6017,26.6876,72.72,21,100,11.45,SD,1700590671
11,kurmuk,10.55,34.2833,77.52,49,77,3.51,SD,1700590672
12,punta arenas,-53.15,-70.9167,51.91,50,0,39.12,CL,1700590563
13,gamboula,4.1178,15.1393,72.93,88,100,1.28,CF,1700590672
14,nagqu,31.5,92.0,20.48,36,71,5.08,CN,1700590673
15,adamstown,-25.066,-130.1015,67.37,85,100,12.03,PN,1700590673
16,puerto ayora,-0.7393,-90.3518,82.36,86,89,7.0,EC,1700590673
17,preobrazheniye,42.9019,133.9064,40.46,76,74,4.88,RU,1700590674
18,barra de santo antonio,-9.4047,-35.5072,83.48,66,29,12.08,BR,1700590674
19,port mathurin,-19.6833,63.4167,77.59,73,47,16.06,MU,1700590674
20,bulgan,48.8125,103.5347,9.37,67,40,6.69,MN,1700590675
21,ribeira grande,38.5167,-28.7,68.77,88,20,23.02,PT,1700590675
22,puerto natales,-51.7236,-72.4875,52.25,46,75,17.27,CL,1700590651
23,nova sintra,14.8667,-24.7167,73.72,69,100,9.19,CV,1700590676
24,grytviken,-54.2811,-36.5092,34.7,97,100,1.72,GS,1700590676
25,broken hill,-31.95,141.4333,63.93,50,70,13.24,AU,1700590677
26,kodiak,57.79,-152.4072,27.91,74,0,3.44,US,1700590677
27,lorengau,-2.0226,147.2712,81.39,81,32,6.87,PG,1700590677
28,nar'yan-mar,67.6713,53.087,-6.32,100,90,3.94,RU,1700590678
29,jalqani,12.4486,34.2186,85.48,22,97,7.85,SD,1700590678
30,polyarnyy,69.1989,33.4478,11.55,96,91,10.65,RU,1700590678
31,edinburgh of the seven seas,-37.0676,-12.3116,56.17,79,7,38.23,SH,1700590679
32,blackmans bay,-43.0167,147.3167,53.73,90,13,3.96,AU,1700590679
33,wajir,1.7471,40.0573,82.4,71,85,7.67,KE,1700590679
34,bethel,41.3712,-73.414,44.02,65,20,9.22,US,1700590680
35,newman,37.3138,-121.0208,59.29,74,69,1.99,US,1700590680
36,udachny,66.4167,112.4,-25.58,99,93,4.12,RU,1700590680
37,rundu,-17.9333,19.7667,86.27,29,75,4.32,NA,1700590681
